Number of points in circle (Ncirc) generated from square grid (N) 
Nrect, Ncirc
---------
1, 0
4, 0
9, 5
16, 4
25, 13
36, 16
49, 29
64, 32
81, 49
100, 60
121, 81
144, 88
169, 113
196, 124
225, 149
256, 172
289, 197
324, 216
361, 253
400, 276
441, 317
484, 332
529, 377
576, 408
625, 441
676, 484
729, 525
784, 560
841, 613
900, 648
961, 709
1024, 740
1089, 797
1156, 848
1225, 897
1296, 952
1369, 1009
1444, 1060
1521, 1129
1600, 1184
1681, 1257
1764, 1304
1849, 1373
1936, 1436
2025, 1517
2116, 1576
2209, 1653
2304, 1716
2401, 1793
2500, 1876
2601, 1957
2704, 2032
2809, 2117
2916, 2188
3025, 2289
3136, 2348
3249, 2453
3364, 2536
3481, 2625
3600, 2724
3721, 2821
3844, 2912
3969, 3001
4096, 3096
4225, 3209
4356, 3300
4489, 3409
4624, 3512
4761, 3621
4900, 3720
5041, 3853
5184, 3940
5329, 4053
5476, 4160
5625, 4293
5776, 4404
5929, 4513
6084, 4644
6241, 4777
6400, 4872
6561, 5025
6724, 5140
6889, 5261
7056, 5388
7225, 5525
7396, 5664
7569, 5789
7744, 5924
7921, 6077
8100, 6180
8281, 6361
8464, 6488
8649, 6625
8836, 6772
9025, 6921
9216, 7080
9409, 7213
9604, 7368
9801, 7525
