Number in hexagonal grid (Nhex) generated from distance parameter (d) for a radius of 1. 
d, Nhex
---------
1.000001, 1
0.577357, 7
0.500007, 13
0.377965, 19
0.333341, 31
0.288682, 37
0.277354, 43
0.250006, 55
0.229420, 61
0.218220, 73
0.200007, 85
0.192456, 91
0.188985, 97
0.179612, 109
0.166672, 121
0.164401, 127
0.160132, 139
0.152501, 151
0.144343, 163
0.142857, 187
0.138678, 187
0.132457, 199
0.128039, 211
0.125991, 223
0.125005, 235
0.122171, 241
0.117043, 253
0.115471, 265
0.114712, 271
0.112509, 283
0.111111, 301
0.109112, 301
0.104830, 313
0.103696, 337
0.101536, 349
0.100001, 361
0.098533, 367
0.096225, 385
0.095784, 385
0.094918, 397
0.094493, 409
0.092453, 421
0.090911, 433
0.089804, 439
0.088738, 451
0.088047, 463
0.086713, 475
0.084820, 499
0.083334, 511
0.082480, 517
0.082201, 535
0.081382, 547
0.080067, 559
0.079810, 571
0.078329, 583
0.076925, 595
0.076472, 613
0.076251, 625
0.075596, 637
0.074332, 649
0.073924, 661
0.072742, 673
0.072169, 685
0.071984, 691
0.071429, 703
0.070890, 721
0.070536, 733
0.069340, 745
0.068845, 757
0.067887, 769
0.067575, 793
0.066967, 805
0.066668, 817
0.066227, 823
0.066084, 835
0.064958, 847
0.064418, 859
0.064151, 871
0.064020, 877
0.063631, 889
0.062996, 913
0.062500, 931
0.062138, 931
0.061086, 955
0.060746, 967
0.060524, 979
0.060085, 1003
0.059870, 1015
0.059444, 1027
0.058826, 1039
0.058622, 1045
0.058522, 1057
0.057736, 1069
0.057640, 1075
0.057354, 1099
0.057075, 1111
0.056889, 1123
0.056524, 1135
0.056255, 1147
0.055556, 1159
0.055470, 1177
0.055301, 1177
0.054967, 1189
0.054801, 1201
0.054556, 1213
0.054474, 1225
0.053995, 1237
0.053531, 1261
0.053376, 1285
0.052634, 1285
0.052488, 1303
0.052416, 1309
0.052200, 1333
0.051849, 1345
0.051779, 1357
0.051367, 1369
0.051232, 1381
0.050835, 1393
0.050768, 1405
0.050189, 1417
0.050064, 1429
0.050001, 1453
0.049814, 1459
0.049448, 1483
0.049267, 1495
0.048971, 1507
0.048738, 1519
0.048394, 1531
0.048113, 1555
0.048058, 1561
0.047892, 1573
0.047729, 1585
0.047620, 1597
0.047459, 1615
0.047247, 1627
0.046984, 1651
0.046778, 1663
0.046474, 1663
0.046225, 1687
0.046176, 1687
0.046079, 1711
0.045884, 1723
0.045597, 1735
0.045456, 1759
0.045316, 1765
0.045222, 1777
0.044902, 1789
0.044767, 1801
0.044413, 1813
0.044368, 1831
0.044238, 1843
0.044152, 1867
0.044024, 1879
0.043728, 1891
0.043644, 1903
0.043479, 1915
0.043357, 1921
0.042995, 1945
0.042914, 1969
0.042757, 1969
0.042681, 1981
0.042525, 1993
0.042410, 2017
0.042297, 2029
0.041996, 2065
0.041849, 2065
0.041667, 2077
0.041632, 2083
0.041559, 2095
0.041240, 2107
0.041205, 2125
0.041101, 2149
0.040927, 2173
0.040791, 2173
0.040725, 2185
0.040690, 2197
0.040589, 2209
0.040391, 2221
0.040194, 2233
0.040032, 2257
0.040001, 2257
0.039905, 2263
0.039810, 2275
0.039748, 2287
0.039622, 2299
0.039437, 2335
0.039193, 2371
0.039163, 2383
0.039015, 2383
0.038896, 2395
0.038662, 2419
0.038548, 2419
0.038491, 2431
0.038463, 2437
0.038377, 2455
0.038236, 2479
0.038152, 2503
0.038126, 2503
0.038042, 2515
0.037797, 2527
0.037717, 2539
0.037556, 2563
0.037504, 2575
0.037242, 2587
0.037191, 2611
0.037165, 2623
0.037089, 2635
0.037038, 2647
0.036961, 2665
0.036937, 2665
0.036787, 2677
0.036736, 2689
0.036491, 2713
0.036370, 2725
0.036346, 2737
0.036203, 2749
0.036085, 2773
0.036062, 2779
0.035991, 2791
0.035922, 2803
0.035876, 2815
0.035715, 2839
0.035647, 2857
0.035512, 2869
0.035444, 2905
0.035269, 2905
0.035115, 2917
0.035072, 2929
0.034987, 2941
0.034944, 2965
0.034859, 2989
0.034733, 3001
0.034690, 3013
0.034669, 3025
0.034566, 3037
0.034483, 3049
0.034423, 3055
0.034361, 3067
0.034321, 3079
0.034240, 3091
0.034120, 3103
0.033962, 3115
0.033943, 3121
0.033885, 3145
0.033846, 3169
0.033788, 3181
0.033769, 3193
0.033654, 3205
0.033540, 3217
0.033483, 3241
0.033334, 3253
0.033279, 3259
0.033206, 3283
0.033114, 3295
0.033041, 3307
0.032987, 3319
0.032952, 3331
0.032880, 3343
0.032845, 3355
0.032774, 3367
0.032669, 3403
0.032634, 3415
0.032479, 3427
0.032462, 3439
0.032259, 3463
0.032208, 3481
0.032158, 3493
0.032076, 3505
0.032059, 3511
0.032026, 3535
0.032009, 3559
0.031929, 3559
0.031814, 3595
0.031766, 3607
0.031734, 3619
0.031671, 3619
0.031639, 3631
0.031497, 3655
0.031482, 3655
0.031451, 3667
0.031296, 3679
0.031251, 3691
0.031205, 3697
0.031174, 3721
0.031115, 3745
0.031069, 3757
0.031024, 3781
0.030905, 3793
0.030846, 3805
0.030817, 3817
0.030759, 3829
